Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
18-Nov,"7,150","2,270,174,738","317,507","256,900","23,620",2.8
18-Dec,"7,553","2,419,667,277","320,358","265,000","20,185",2.4
19-Jan,"5,038","1,483,638,423","294,490","245,000","21,630",2.6
19-Feb,"6,524","2,002,899,075","307,005","257,000","22,361",2.7
19-Mar,"8,546","2,775,755,089","324,802","270,000","23,506",2.8
19-Apr,"9,248","3,066,489,130","331,584","272,500","24,992",3
19-May,"10,698","3,657,924,707","341,926","282,385","26,720",3.2
19-Jun,"9,744","3,369,225,340","345,774","285,000","27,963",3.4
19-Jul,"10,487","3,474,720,498","331,336","279,990","27,980",3.3
19-Aug,"10,198","3,346,921,749","328,194","275,000","27,439",3.3
19-Sep,"8,542","2,763,257,307","323,491","270,000","26,673",3.2
19-Oct,"8,508","2,767,075,696","325,232","270,000","26,070",3.1
19-Nov,"7,285","2,331,797,583","320,082","268,000","24,037",2.8
19-Dec,"8,724","2,938,459,881","336,825","278,766","20,165",2.3
20-Jan,"6,043","1,929,786,870","319,343","265,000","21,224",2.4
20-Feb,"7,192","2,353,083,310","327,181","272,500","21,558",2.5
20-Mar,"8,799","2,946,907,185","334,914","279,900","21,004",2.4
20-Apr,"7,462","2,482,939,219","332,744","285,000","21,990",2.5
20-May,"7,848","2,585,682,412","329,470","280,000","22,514",2.7
20-Jun,"11,141","3,883,091,073","348,541","290,000","20,989",2.5
20-Jul,"12,855","4,650,350,031","361,754","299,900","20,007",2.3
20-Aug,"11,156","4,036,430,403","361,817","300,000","18,168",2.1
20-Sep,"10,687","3,858,857,403","361,080","298,884","16,893",1.9
20-Oct,"10,439","3,860,558,288","369,821","302,500","15,838",1.7
20-Nov,"8,818","3,252,156,943","368,809","300,000","13,418",1.4
20-Dec,"10,178","3,796,422,634","373,003","300,000","10,695",1.1
21-Jan,"6,535","2,380,464,322","364,264","292,976","10,430",1.1
21-Feb,"6,697","2,619,068,659","391,081","310,880","8,928",1
21-Mar,"9,054","3,656,706,890","403,878","321,000","9,092",1
21-Apr,"9,730","4,054,776,177","416,729","333,000","9,943",1
21-May,"9,988","4,366,527,795","437,177","350,000","9,946",1
21-Jun,"10,928","4,808,890,192","440,052","355,000","11,245",1.2
21-Jul,"10,533","4,573,891,867","434,244","355,000","13,355",1.4
21-Aug,"10,590","4,526,219,490","427,405","353,000","12,677",1.3
21-Sep,"10,164","4,318,206,960","424,853","350,000","12,342",1.3
21-Oct,"9,441","3,967,248,348","420,215","351,000","11,450",1.2
21-Nov,"9,040","3,816,426,140","422,171","355,000","9,604",1
21-Dec,"9,671","4,222,961,579","436,662","362,500","7,322",0.8
